userId,carId,rating,interaction_count,last_interaction
user4,1,5,1,2025-06-24T19:07:44.298Z
user4,2,5,1,2025-06-24T19:07:45.495Z
user4,3,4,1,2025-06-24T19:07:46.017Z
user4,4,5,1,2025-06-24T19:07:47.255Z
user4,5,5,1,2025-06-24T19:07:47.760Z
user4,6,2,1,2025-06-24T19:07:49.032Z
user4,7,5,1,2025-06-24T19:07:49.495Z
user4,8,5,1,2025-06-24T19:07:50.807Z
user4,9,5,1,2025-06-24T19:07:51.248Z
user4,10,1,1,2025-06-24T19:07:52.578Z
user4,11,5,1,2025-06-24T19:07:53.010Z
user4,12,5,1,2025-06-24T19:07:54.302Z
user4,13,2,1,2025-06-24T19:07:54.779Z
user4,14,2,1,2025-06-24T19:07:56.082Z
user4,15,4,1,2025-06-24T19:07:56.537Z
user4,16,4,1,2025-06-24T19:07:57.804Z
user4,17,4,1,2025-06-24T19:07:58.282Z
user4,18,1,1,2025-06-24T19:07:59.656Z
user4,19,4,1,2025-06-24T19:08:00.094Z
user4,20,2,1,2025-06-24T19:08:01.382Z
user3,1,5,1,2025-06-24T19:07:26.743Z
user3,2,5,1,2025-06-24T19:07:27.834Z
user3,3,1,1,2025-06-24T19:07:28.501Z
user3,4,4,1,2025-06-24T19:07:29.575Z
user3,5,1,1,2025-06-24T19:07:30.233Z
user3,6,2,1,2025-06-24T19:07:31.307Z
user3,7,2,1,2025-06-24T19:07:32.081Z
user3,8,5,1,2025-06-24T19:07:33.065Z
user3,9,1,1,2025-06-24T19:07:33.839Z
user3,10,1,1,2025-06-24T19:07:34.833Z
user3,11,4,1,2025-06-24T19:07:35.561Z
user3,12,1,1,2025-06-24T19:07:36.631Z
user3,13,5,1,2025-06-24T19:07:37.327Z
user3,14,2,1,2025-06-24T19:07:38.428Z
user3,15,2,1,2025-06-24T19:07:39.059Z
user3,16,2,1,2025-06-24T19:07:40.218Z
user3,17,1,1,2025-06-24T19:07:40.777Z
user3,18,2,1,2025-06-24T19:07:41.922Z
user3,19,5,1,2025-06-24T19:07:42.545Z
user3,20,2,1,2025-06-24T19:07:43.677Z
user1,1,2,1,2025-06-24T19:06:51.168Z
user1,2,2,1,2025-06-24T19:06:51.801Z
user1,3,4,1,2025-06-24T19:06:53.136Z
user1,4,1,1,2025-06-24T19:06:53.628Z
user1,5,2,1,2025-06-24T19:06:54.926Z
user1,6,5,1,2025-06-24T19:06:55.414Z
user1,7,1,1,2025-06-24T19:06:56.726Z
user1,8,2,1,2025-06-24T19:06:57.320Z
user1,9,4,1,2025-06-24T19:06:58.503Z
user1,10,1,1,2025-06-24T19:06:59.138Z
user1,11,5,1,2025-06-24T19:07:00.262Z
user1,12,2,1,2025-06-24T19:07:00.934Z
user1,13,1,1,2025-06-24T19:07:02.041Z
user1,14,2,1,2025-06-24T19:07:02.747Z
user1,15,5,1,2025-06-24T19:07:03.783Z
user1,16,5,1,2025-06-24T19:07:04.595Z
user1,17,2,1,2025-06-24T19:07:05.548Z
user1,18,2,1,2025-06-24T19:07:06.370Z
user1,19,1,1,2025-06-24T19:07:07.374Z
user1,20,5,1,2025-06-24T19:07:08.173Z
user2,1,5,1,2025-06-24T19:07:09.170Z
user2,2,2,1,2025-06-24T19:07:09.952Z
user2,3,5,1,2025-06-24T19:07:10.904Z
user2,4,2,1,2025-06-24T19:07:11.750Z
user2,5,5,1,2025-06-24T19:07:12.681Z
user2,6,2,1,2025-06-24T19:07:13.465Z
user2,7,5,1,2025-06-24T19:07:14.439Z
user2,8,5,1,2025-06-24T19:07:15.240Z
user2,9,2,1,2025-06-24T19:07:16.192Z
user2,10,5,1,2025-06-24T19:07:17.113Z
user2,11,2,1,2025-06-24T19:07:17.961Z
user2,12,2,1,2025-06-24T19:07:18.856Z
user2,13,1,1,2025-06-24T19:07:19.758Z
user2,14,4,1,2025-06-24T19:07:20.593Z
user2,15,5,1,2025-06-24T19:07:21.528Z
user2,16,1,1,2025-06-24T19:07:22.336Z
user2,17,1,1,2025-06-24T19:07:23.271Z
user2,18,2,1,2025-06-24T19:07:24.148Z
user2,19,2,1,2025-06-24T19:07:24.994Z
user2,20,5,1,2025-06-24T19:07:26.040Z
user5,1,5,1,2025-06-24T19:08:01.843Z
user5,2,4,1,2025-06-24T19:08:03.214Z
user5,3,4,1,2025-06-24T19:08:03.676Z
user5,4,2,1,2025-06-24T19:08:05.007Z
user5,5,5,1,2025-06-24T19:08:05.478Z
user5,6,5,1,2025-06-24T19:08:06.837Z
user5,7,5,1,2025-06-24T19:08:07.380Z
user5,8,5,1,2025-06-24T19:08:08.666Z
user5,9,1,1,2025-06-24T19:08:09.191Z
user5,10,5,1,2025-06-24T19:08:10.422Z
user5,11,2,1,2025-06-24T19:08:10.940Z
user5,12,5,1,2025-06-24T19:08:12.202Z
user5,13,5,1,2025-06-24T19:08:12.688Z
user5,14,1,1,2025-06-24T19:08:14.012Z
user5,15,5,1,2025-06-24T19:08:14.457Z
user5,16,5,1,2025-06-24T19:08:15.746Z
user5,17,1,1,2025-06-24T19:08:16.180Z
user5,18,5,1,2025-06-24T19:08:17.482Z
user5,19,5,1,2025-06-24T19:08:17.903Z
user5,20,5,1,2025-06-24T19:08:18.683Z
